siret;nom_officiel;nature_juridique;activite;commune;code_postal
13002285800018;CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE BORDEAUX GIRONDE (CCIT);7381;94.11Z;BORDEAUX;33000
18001003500000;;;;;
18330038300019;GIP DU GRAND PROJET DES VILLES RIVE DROITE (GIP-GPV);7410;84.13Z;CENON;33150
25330068500018;SI A VOCATION SOCIO-CULTURELLE DU CANTON DE CARBON BLANC ET DE LA RIVE DROITE;7353;91.01Z;CARBON-BLANC;33560
30016423300029;ASS FORMATION EDUCATION PERMANENT TIVOLI (AFEPT);9220;85.59A;BORDEAUX;33000
30016423300052;ASS FORMATION EDUCATION PERMANENT TIVOLI (AFEPT);9220;85.59A;BORDEAUX;33000
30091783800000;;;;;
30091783800025;ASS DEP DES AMIS DES VOYAGEURS 33 (ADAV 33);9220;88.99B;TALENCE;33400
30500910200081;MSF MEDECINS SANS FRONTIERES;9220;88.99B;PARIS;75019
30500910200100;;;;;
30537823400000;;;;;
30537823400036;ASSOCIATION DEPARTEMENTALE D'INFORMATION SUR LE LOGEMENT DE GIRONDE (ADIL33);9220;94.99Z;PESSAC;33600
30604031200028;ARTS ET LOISIRS D ARLAC;9220;93.29Z;MERIGNAC;33700
30733663600000;;;;;
30733663600039;CENTRE REGIONAL INFORMATION JEUNESSE  NOUVELLE AQUITAINE (CRIJ - NA);9220;94.99Z;BORDEAUX;33000
30912305700100;;;;;
30957565200040;CITES UNIES FRANCE (CUF);9220;94.99Z;PARIS;75018
31065677200202;LEO LAGRANGE FORMATION;9220;85.59A;VAULX-EN-VELIN;69120
31231100400039;GIHP AQUITAINE;9220;88.10B;MERIGNAC;33700
31231100400047;GIHP AQUITAINE;9220;88.10B;MERIGNAC;33700
31241056600011;COMITE ETUDE INFORMATION DROGUE (CEID);9220;88.99B;BORDEAUX;33800
31611221800100;;;;;
32123703400012;ARC EN REVE;9220;94.99Z;BORDEAUX;33000
32205354700053;GIRONDINS DE BORDEAUX;9220;93.12Z;MERIGNAC;33700
32404359500010;HABITAT JEUNES DES HAUTS DE GARONNE;9220;55.90Z;LORMONT;33310
32500114700000;;;;;
32571979700046;SECOURS POPULAIRE FRANCAIS (SPF);9220;88.99B;BORDEAUX;33800
32592166600013;COMITE DE JUMELAGE;9220;94.99Z;MIREBEAU;86110
3271960100018;;;;;
32721569500047;AGENCE QUALITE CONSTRUCTION (AQC);9220;70.22Z;PARIS;75016
32721569500070;AGENCE QUALITE CONSTRUCTION (AQC);9220;70.22Z;PARIS;75016
32740860500000;;;;;
32848008200069;CIE LES MARCHES DE L ETE;9220;90.01Z;BORDEAUX;33800
32848008200093;CIE LES MARCHES DE L ETE;9220;90.01Z;BORDEAUX;33800
32848008200100;;;;;
32852574600017;SIMOREP ET CIE;5710;20.17Z;BASSENS;33530
33145778800619;ASSOCIATION GENERALE DES INTERVENANTS RETRAITES ABCD (AGIR ABCD);9230;94.99Z;PARIS;75019
33230399900079;ASSOCIATION EIPF;9220;43.34Z;BORDEAUX;33200
33348540700017;;;;;
33348540700030;CENTRE D'INFORMATION SUR LES DROITS DE LA FEMME ET DES FAMILLES DE LA GIRONDE (CIDFF GIRONDE);9220;94.99Z;BORDEAUX;33000
33483378700011;;;;;
33785791600015;HOPITAL SUBURBAIN DU BOUSCAT;9230;86.10Z;LE BOUSCAT;33110
33884976300036;IFAID (IFAID);9220;85.59B;PESSAC;33600
33892405300014;CLUB MUNICIPAL OMNISPORT BASSENS (CMOB);9220;93.12Z;BASSENS;33530
33986341700418;LES RESTAURANTS DU COEUR;9230;88.99B;PARIS;75009
34063725500000;;;;;
34063725500027;BANQUE ALIMENT. DE BORDEAUX ET GIRONDE;9220;88.99B;BORDEAUX;33300
34077248200014;JEUNES SCIENCE BORDEAUX;9220;93.29Z;BORDEAUX;33800
34084009900022;RESEAU PAUL BERT;9220;87.90B;BORDEAUX;33000
34169319000000;;;;;
34169319000033;MUSIQUES DE NUIT DIFFUSION;9220;90.01Z;CENON;33150
34221545600000;;;;;
34221545600043;LA MEMOIRE DE BORDEAUX METROPOLE;9220;91.01Z;BORDEAUX;33000
34221545600050;LA MEMOIRE DE BORDEAUX METROPOLE;9220;91.01Z;BORDEAUX;33000
34426475900000;;;;;
34426475900046;ESCALES LITTERAIRES BORDEAUX AQUITAINE;9220;82.30Z;BORDEAUX;33000
34975346700000;;;;;
34975346700043;HAUTS DE GARONNE DEVELOPPEMENT;9220;70.22Z;BASSENS;33530
34975346700050;HAUTS DE GARONNE DEVELOPPEMENT;9220;70.22Z;BASSENS;33530
35011886500000;;;;;
35011886500017;;;;;
35011886500046;PARALLELES ATTITUDES DIFFUSION;9220;93.29Z;BORDEAUX;33800
35221687300015;;;;;
35221687300200;;;;;
35221687300211;ASSOCIATION POUR LE DROIT A L'INITIATIVE ECONOMIQUE (A.D.I.E.);9220;88.99B;PARIS;75019
37781852100000;;;;;
37781852100025;BORDEAUX TECHNOWEST;9220;94.99Z;MERIGNAC;33700
37781852100058;BORDEAUX TECHNOWEST;9220;94.99Z;MERIGNAC;33700
37796404400038;UNITEC;9220;70.22Z;PESSAC;33600
37796404400061;UNITEC;9220;70.22Z;PESSAC;33600
37809063300017;CTRE RENCONTRES ACTION CULTURELLE BEGLES;9220;94.99Z;BEGLES;33130
37914022100000;;;;;
37914022100019;ASS FESTIVAL INTERN FILM HISTOIRE PESSAC;9220;90.01Z;PESSAC;33600
37917042600025;EARL DES SERRES SANGUINET;6598;01.13Z;EYSINES;33320
37954994200025;RESTAURANTS DU COEUR - RELAIS DU COEUR DE LA GIRONDE;9220;88.99B;BRUGES;33520
38058299900021;CONSERVATOIRE DES RACES D'AQUITAINE;9220;91.04Z;MERIGNAC;33700
38175727700011;SYNDIC COPROP RES PARC CAPEYRON;9110;81.10Z;MERIGNAC;33700
38278967500032;HYDRAULIQUE SANS FRONTIERES (HSF);9220;94.99Z;CHAMBERY;73000
38345677900032;POLE D ENSEIGNEMENT SUPERIEUR DE LA MUSIQUE ET DE LA DANSE DE BDX NOUVELLE-AQUIT (PESMD BORDEAUX AQUIT);9220;85.52Z;BORDEAUX;33800
38389023300000;;;;;
38389023300026;INSTITUT DEPARTEMENTAL DE DEVELOPPEMENT ARTISTIQUE ET CULTUREL (I.D.D.A.C.);9220;90.02Z;BEGLES;33130
38906263900056;INTERCOMMUNALITES DE FRANCE;9220;94.99Z;PARIS;75009
38956456800027;GRAINE NOUVELLE-AQUITAINE;9220;94.99Z;BELIN-BELIET;33830
39061052500000;;;;;
39061052500029;AQUITEC;9220;94.99Z;BORDEAUX;33000
39253524100000;;;;;
39253524100013;SEPANSO GIRONDE;9220;91.04Z;BORDEAUX;33800
39452889700000;;;;;
39452889700280;ELECTRICIENS SANS FRONTIERES L'ENERGIE DU DEVELOPPEMENT;9220;94.99Z;PARIS;75016
39459802300000;;;;;
39484466600013;BORDEAUX METROPOLE SPORTS ET LOISIRS (BMSL);9220;93.12Z;BORDEAUX;33000
39507866000036;ESPACE 33;9220;88.99B;BORDEAUX;33200
39787018900040;JLA PRODUCTIONS (HAMSTER PRODUCTIONS- JLA MUSIQUE - LUDOC- EXILENE FILMS);5710;59.11A;SAINT-DENIS;93210
39811228400000;;;;;
39811228400011;ASS DEVELOPPE EPREUVES COMBINEES MEETING (ADEM);9220;93.12Z;TALENCE;33400
39811228400015;;;;;
39811228400029;ASS DEVELOPPE EPREUVES COMBINEES MEETING (ADEM);9220;93.12Z;TALENCE;33400
