id,id_ex,siret,gestion,date_creat,date_publi,nature,groupement,titre,objet,objet_social1,objet_social2,adr1,adr2,adr3,adrs_codepostal,libcom,dir_civilite,siteweb,observation,position,rup_mi,maj_time
601P0601013997,0601013997,,601P,1998-09-30,1998-10-17,D,S,COMITE BADMINTON 27,"Developper le badminton, diriger, coordonner et controler les associations sportives de badminton de leure affiliee a la federation francaise et a la ligue de haute normandie",000000,000000,Chez dominique carpentier,33 clos de la tour,,60590,LALANDE-EN-SON,PM,,,A,,2005-03-23 15:57:24
603S0603005253,0603005253,,603S,2000-03-10,2000-04-01,D,S,A D S B ASSOCIATION DE DEFENSE DES SALARIES DE LA COMPAGNIE AERIENNE BELAIR-ILE-DE-FRANCE,Defense des salaries de lentreprise,000000,000000,34 chemin de pelon,,,33250,CISSAC-MEDOC,PM,,,A,,2005-03-25 14:54:53
604S0604004708,0604004708,,604S,0001-01-01,1997-01-08,D,S,CLUB 505,"Etablir des liens damitie entre les membres de lassociation, des relations amicales, resserer et etendre ces liens damitie, developper lentraide.....",023000,000000,"334, rue fould stern",Sarron,,60700,PONT-SAINTE-MAXENCE,PM,,Reprise auto =>  date publication creation au JO a verifier,A,,2005-03-25 11:32:42
212P0000124,0000124,,212P,2000-05-02,2000-06-03,D,S,CLOPIN - CLOPAN,"ORGANISATION DE RENCONTRES, DACTIVITES SOCIO-CULTURELLES, SPORTIVES OU DE LOISIRS ET TOUTES ACTIVITES TENDANT A FAVORISER LA COMMUNICATION ET LE DEVELOPPEMENT PERSONNEL.",007075,006025,CHEZ M. BERNARD THURA,33 RUE DE LA COMBE SOUS LES ROSES,,21490,BRETIGNY,PM,,W212013456,R,,2020-07-22 16:45:15
093S0093001184,0093001184,,093S,0001-01-01,1992-11-18,D,S,CLUB DU SANGLIER,Groupement de reflexion permettant de gerer et de chasser le sanglier dans le respect de notre culture cynegitique et la realite biologique de lespece,000000,000000,domaine de pachan,,,33290,LUDON-MEDOC,PM,,reprise auto => date publication creation au JO a verifier,A,,2006-05-02 15:44:05
741P0741010110,0741010110,,741P,0001-01-01,1989-10-04,D,S, ILAROI,"Soutien financier, affectif, moral, professionnel et intellectuel des membres de lassociation pendant et apres les etudes",014000,023000,"33, chemin du perimetre",,,74000,ANNECY,PM,,Reprise  =>  date publication creation au JO a verifier date ag=0000-00-00,A,,2008-11-26 10:37:44
742S0742001401,0742001401,,742S,0001-01-01,1968-06-22,D,S,AERO-CLUB DE MEGEVE,"Faciliter et vulgariser la pratique de laviation, la connaissance de laeronautique et celles des differentes autres formes dactivite aeronautique, en particulier leducation aeronautique et la preparation de lapprentissage...",011000,011135,Altiport,"3368, route de la Cote 2000",,74120,MEGEVE,PM,,W742003601,R,,2017-01-20 14:50:54
743S0743002077,0743002077,,743S,0001-01-01,1987-02-25,D,S,LES YETIS DE LA GLISSE,"La promotion et le dEveloppement au sein dun groupe damis du surfneige. nous envisageons cette nouvelle forme de glisse sous un angle un peu novateur, hors des sentiers balises des stations de ski, pour permettre A cette nouvelle discipline de s",011155,000000,Chez m. dufour damien,33 route de la colline,,74100,VETRAZ-MONTHOUX,PM,,Reprise  =>  date publication creation au JO a verifier date ag=0000-00-00,A,,2008-11-26 11:10:29
744S0744002730,0744002730,,744S,0001-01-01,1992-04-29,D,S, AIDES AUX INSTITUTIONS ET PREVENTION ET DE REHABILITATION DES  PERSONNES DEPENDANTES,"Apporter toute aide a des institutions sinteressant a la preven- tion des problemes de dependance toxicomanie, alcoolisme, etc  prendre en charge des personnes dependantes et leur rehabilitationreinserer des personnes liberees des dependances",018030,000000,Chez mme kia-mulliez christine,"33, la lagune, port ripaille",,74200,THONON-LES-BAINS,PM,,Reprise  =>  date publication creation au JO a verifier date ag=0000-00-00,A,,2008-11-26 11:16:57
744S0744004782,0744004782,,744S,2006-11-23,0001-01-01,D,S,COTE PARENTS,"valoriser les roles et les competences des parents. Favoriser relation entre les parents, organiser des echanges avec les professionnels, creer un point information parents. Garantir louverture de notre association a tous les parents au sens large de generations et de categories socio professionnelles nculturelles differentes.",015075,000000,MJC rue du Centre,33 rue du Centre,,74140,DOUVAINE,PM,,Reprise  =>  date ag=0000-00-00,A,,2008-11-26 11:17:07
